# Meta-Data
filename,method,iterations,points
/home/pumas/coyo/rgbd.png,uniform,7,238583
# Data
simulation,time,distorsion,clusters
0,0.325296,302216,6,8
1,0.126531,318967,6,8
2,0.118359,318967,6,8
3,0.140797,236254,14,24
4,0.172532,236254,14,24
5,0.157735,236254,14,24
