# Meta-Data
filename,method,iterations,points
/home/pumas/coyo/xyzTake1.exr,uniform,7,1119926
# Data
simulation,time,distorsion,clusters
0,0.794608,300661,6,8
1,0.599109,207518,6,8
2,0.608519,291502,7,8
3,0.692937,200219,10,24
4,0.676914,200219,10,24
5,0.711032,578489,7,24
