# Meta-Data
filename,method,iterations,points
/home/pumas/coyo/testImg.exr,uniform,7,8313715
# Data
simulation,time,distorsion,clusters
0,4.59488,8.1147e+06,7,8
1,4.41023,7.27094e+06,7,8
2,4.55757,7.84395e+06,7,8
3,5.06185,5.7745e+06,21,24
4,5.24017,5.97704e+06,21,24
5,5.13636,5.63575e+06,22,24
