# Meta-Data
filename,method,iterations,points
/home/pumas/coyo/xyzTake1.exr,uniform,7,1120761
# Data
simulation,time,distorsion,clusters
0,0.824469,586840,8,8
1,0.614184,506202,8,8
2,0.607302,644520,6,8
3,0.709668,420106,18,24
4,0.699169,353922,18,24
5,0.715933,423872,15,24
