clusters,time,distorsion
31,0.23640033333333332,235830.0
30,0.16238799999999998,246130.0
32,0.16336199999999998,223128.0
47,0.203166,200220.5
46,0.20291874999999998,204382.25
62,0.2395696,184198.4
60,0.24256100000000003,184795.0
75,0.2846735,171974.5
78,0.282741,167879.0
77,0.283202,170842.0
74,0.2834,174890.0
93,0.325626,160304.0
94,0.328685,161545.0
91,0.326273,162972.0
87,0.325542,160211.0
92,0.325883,160430.0
109,0.36712749999999994,149209.5
103,0.366901,153348.5
107,0.3686815,155709.5
