Clusters: 151
Codebook: x,y,z,label
36:123,29,120,117,36,
37:123,29,120,117,36,
38:123,29,120,117,36,
39:21,23,
40:123,29,120,117,36,
41:123,29,120,117,36,
42:123,29,120,117,36,
43:128,20,4,107,62,
44:125,75,113,
45:146,114,137,119,35,
46:145,143,113,
47:113,125,
48:123,29,120,117,36,
49:77,60,0,
50:104,145,35,82,
51:123,29,120,117,36,
52:136,93,127,79,8,
53:99,67,23,
54:123,29,120,117,36,
55:28,24,60,77,97,
56:119,18,61,
57:147,83,74,
58:123,29,120,117,36,
59:138,79,78,8,106,
60:77,24,49,55,28,
61:98,18,141,56,
62:128,107,20,91,43,
63:34,93,27,105,136,
64:116,72,84,16,76,
65:123,29,120,117,36,
66:123,29,120,117,36,
67:7,53,23,
68:138,33,8,105,59,
69:123,29,120,117,36,
70:123,29,120,117,36,
71:54,29,120,117,36,
72:64,116,76,16,
73:123,29,120,117,36,
74:147,20,83,57,
75:9,44,111,125,121,
76:116,64,72,
77:60,49,55,24,0,
78:59,106,31,79,89,
79:127,59,106,136,78,
80:126,142,
81:88,1,140,126,
82:6,145,2,104,50,
83:147,57,74,
84:16,149,64,116,
85:123,29,120,117,36,
86:123,29,120,117,36,
87:92,130,
88:1,81,140,100,
89:106,127,31,79,78,
90:27,118,34,33,63,
91:107,15,25,4,62,
92:11,87,149,
93:52,136,63,105,8,
94:109,29,120,36,37,
95:123,29,120,117,36,
96:123,29,120,117,36,
97:28,118,90,55,33,
98:61,18,141,
99:53,141,
100:134,1,88,
101:123,29,120,117,36,
102:112,25,15,3,
103:123,29,120,117,36,
104:35,50,26,82,
105:27,8,63,136,33,
106:89,78,79,31,127,
107:91,128,62,15,4,
108:31,141,89,106,
109:123,29,120,117,36,
110:123,29,120,117,36,
111:75,121,142,
112:102,3,25,
113:47,46,125,44,
114:35,45,137,146,
115:123,29,120,117,36,
116:76,64,72,84,
117:123,29,120,117,36,
118:90,97,34,27,
119:56,78,45,
120:123,29,120,117,36,
121:142,139,9,111,126,
122:0,
123:123,29,120,117,36,
124:123,29,120,117,36,
125:44,47,75,113,
126:139,80,121,142,81,
127:79,52,136,89,106,
128:62,107,43,20,91,
129:123,29,120,117,36,
130:87,
131:123,29,120,117,36,
132:123,29,120,117,36,
133:123,29,120,117,36,
134:100,
135:123,29,120,117,36,
136:52,8,93,79,127,
137:114,146,45,
138:8,59,68,79,136,
139:126,121,9,
140:88,81,1,
141:61,108,99,98,
142:121,80,111,126,
143:46,6,145,
144:123,29,120,117,36,
145:50,46,82,6,143,
146:45,137,114,
147:83,57,74,
148:123,29,120,117,36,
149:84,16,92,
150:123,29,120,117,36,
